genes	se_fe_4dp	estimate_fe_4dp	foldc_fe_2dp	upperl_fe_2dp	lowerl_fe_2dp	pval_fe_3sig
ABCC3	0.0149	0.0055	1.00	1.02	-1.02	0.71
ABCC5	0.0192	-0.0115	-1.01	1.02	-1.03	0.548
ABCC8	0.0316	0.0311	1.02	1.07	-1.02	0.326
ABCD1	0.0173	-0.0051	-1.00	1.02	-1.03	0.77
ABCD3	0.0309	0.0072	1.01	1.05	-1.04	0.815
ABCD4	0.0182	0.0307	1.02	1.05	-1.00	0.0917
ABCE1	0.0205	0.0305	1.02	1.05	-1.01	0.137
ABCF1	0.0192	-0.0573	-1.04	-1.01	-1.07	0.00314
ABCF3	0.0165	0.0037	1.00	1.03	-1.02	0.822
ABCG1	0.0307	-0.0104	-1.01	1.04	-1.05	0.735
ABCG2	0.0598	-0.2027	-1.15	-1.06	-1.25	0.000784
ABCG4	0.0182	0.0130	1.01	1.03	-1.02	0.475
ABHD10	0.0179	0.0282	1.02	1.04	-1.00	0.115
ABHD11	0.0163	0.0069	1.00	1.03	-1.02	0.673
ABHD14A	0.0196	0.0173	1.01	1.04	-1.01	0.378
ABHD2	0.0209	0.0288	1.02	1.05	-1.01	0.169
ABHD3	0.0330	0.0714	1.05	1.10	1.00	0.0314
ABHD4	0.0191	0.0015	1.00	1.03	-1.03	0.939
ABHD6	0.0265	-0.0439	-1.03	1.01	-1.07	0.0979
ABHD8	0.0283	0.0131	1.01	1.05	-1.03	0.644
ABI1	0.0241	0.0282	1.02	1.05	-1.01	0.243
ABI2	0.0145	-0.0081	-1.01	1.01	-1.03	0.575
ABL1	0.0173	-0.0098	-1.01	1.02	-1.03	0.571
ABLIM1	0.0221	0.0085	1.01	1.04	-1.02	0.699
ABLIM3	0.0223	0.0179	1.01	1.04	-1.02	0.423
ABO	0.0369	0.0112	1.01	1.06	-1.04	0.762
ABR	0.0166	-0.0151	-1.01	1.01	-1.03	0.365
ABT1	0.0120	0.0091	1.01	1.02	-1.01	0.448
ABTB2	0.0178	0.0226	1.02	1.04	-1.01	0.206
ACAA1	0.0213	0.0311	1.02	1.05	-1.01	0.145
ACAA2	0.0276	0.0568	1.04	1.08	1.00	0.0402
ACACA	0.0163	-0.0258	-1.02	1.00	-1.04	0.114
ACACB	0.0317	0.0492	1.03	1.08	-1.01	0.121
ACAD10	0.0185	-0.0007	-1.00	1.02	-1.03	0.971
ACAD8	0.0208	0.0052	1.00	1.03	-1.02	0.803
ACADM	0.0230	0.0257	1.02	1.05	-1.01	0.264
ACADS	0.0147	0.0097	1.01	1.03	-1.01	0.511
ACADVL	0.0239	-0.0124	-1.01	1.02	-1.04	0.604
ACAP1	0.0258	-0.0128	-1.01	1.03	-1.04	0.621
ACAP2	0.0273	0.0407	1.03	1.07	-1.01	0.137
ACAT1	0.0180	-0.0168	-1.01	1.01	-1.04	0.353
ACAT2	0.0199	-0.0646	-1.05	-1.02	-1.07	0.00132
ACBD3	0.0158	0.0275	1.02	1.04	-1.00	0.0838
ACBD4	0.0129	0.0288	1.02	1.04	1.00	0.026
ACD	0.0217	0.0050	1.00	1.03	-1.03	0.817
ACHE	0.0270	0.0013	1.00	1.04	-1.04	0.963
ACIN1	0.0196	-0.0502	-1.04	-1.01	-1.06	0.0109
ACLY	0.0192	-0.0205	-1.01	1.01	-1.04	0.289
ACO1	0.0218	0.0565	1.04	1.07	1.01	0.00991
ACO2	0.0178	-0.0054	-1.00	1.02	-1.03	0.76
ACOT11	0.0160	-0.0024	-1.00	1.02	-1.02	0.882
ACOT13	0.0231	0.0119	1.01	1.04	-1.02	0.608
ACOT7	0.0204	-0.0116	-1.01	1.02	-1.04	0.57
ACOT8	0.0175	0.0103	1.01	1.03	-1.02	0.556
ACOT9	0.0197	0.0078	1.01	1.03	-1.02	0.692
ACOX1	0.0255	0.0580	1.04	1.08	1.01	0.0235
ACOX2	0.0360	-0.0086	-1.01	1.04	-1.06	0.813
ACOX3	0.0238	-0.0589	-1.04	-1.01	-1.08	0.0139
ACP1	0.0168	0.0198	1.01	1.04	-1.01	0.238
ACP2	0.0187	-0.0113	-1.01	1.02	-1.03	0.544
ACP5	0.0165	-0.0030	-1.00	1.02	-1.02	0.856
ACP6	0.0262	0.0332	1.02	1.06	-1.01	0.206
ACR	0.0173	-0.0165	-1.01	1.01	-1.04	0.34
ACRV1	0.0167	-0.0052	-1.00	1.02	-1.03	0.755
ACSBG1	0.0486	0.1214	1.09	1.16	1.02	0.0131
ACSBG2	0.0173	0.0031	1.00	1.03	-1.02	0.857
ACSF2	0.0262	0.0334	1.02	1.06	-1.01	0.202
ACSL1	0.0264	-0.0739	-1.05	-1.02	-1.09	0.00541
ACSL3	0.0272	0.0066	1.00	1.04	-1.03	0.807
ACSL5	0.0282	-0.0159	-1.01	1.03	-1.05	0.573
ACSL6	0.0318	-0.0303	-1.02	1.02	-1.07	0.341
ACSM5	0.0185	-0.0018	-1.00	1.02	-1.03	0.921
ACSS3	0.0200	0.0358	1.03	1.05	-1.00	0.0747
ACTA2	0.1127	-0.0698	-1.05	1.11	-1.22	0.536
ACTB	0.0108	-0.0025	-1.00	1.01	-1.02	0.817
ACTC1	0.0247	-0.0164	-1.01	1.02	-1.05	0.507
ACTG1	0.0174	0.0212	1.01	1.04	-1.01	0.225
ACTG2	0.0328	-0.0134	-1.01	1.04	-1.06	0.684
ACTL6B	0.0229	0.0599	1.04	1.08	1.01	0.00939
ACTL7A	0.0131	-0.0038	-1.00	1.02	-1.02	0.772
ACTL8	0.0127	-0.0011	-1.00	1.02	-1.02	0.933
ACTN1	0.0219	0.0056	1.00	1.03	-1.03	0.8
ACTN2	0.0187	0.0230	1.02	1.04	-1.01	0.22
ACTN3	0.0330	-0.0315	-1.02	1.02	-1.07	0.341
ACTN4	0.0222	-0.0447	-1.03	-1.00	-1.06	0.0446
ACTR10	0.0201	-0.0284	-1.02	1.01	-1.05	0.159
ACTR1A	0.0179	0.0059	1.00	1.03	-1.02	0.743
ACTR1B	0.0159	-0.0247	-1.02	1.00	-1.04	0.121
ACTR2	0.0254	-0.0072	-1.01	1.03	-1.04	0.776
ACTR3	0.0252	-0.0325	-1.02	1.01	-1.06	0.199
ACTR3B	0.0323	-0.0423	-1.03	1.01	-1.08	0.191
ACTR5	0.0170	0.0447	1.03	1.06	1.01	0.00909
ACTR6	0.0217	0.0046	1.00	1.03	-1.03	0.833
ACTR8	0.0252	-0.0311	-1.02	1.01	-1.06	0.219
ACVR1	0.0240	-0.0604	-1.04	-1.01	-1.08	0.0123
ACVR1B	0.0289	0.0733	1.05	1.09	1.01	0.0118
ACVR2A	0.0174	0.0399	1.03	1.05	1.00	0.0225
ACVR2B	0.0146	0.0310	1.02	1.04	1.00	0.0348
ACVR2B.AS1	0.0131	-0.0042	-1.00	1.01	-1.02	0.75
ACVRL1	0.0239	-0.0107	-1.01	1.03	-1.04	0.654
ACYP1	0.0319	0.0296	1.02	1.07	-1.02	0.355
ACYP2	0.0240	-0.0321	-1.02	1.01	-1.06	0.183
ADA	0.0305	-0.0000	-1.00	1.04	-1.04	1
ADAM10	0.0263	-0.0241	-1.02	1.02	-1.05	0.362
ADAM11	0.0157	0.0079	1.01	1.03	-1.02	0.614
ADAM15	0.0173	0.0178	1.01	1.04	-1.01	0.302
ADAM17	0.0214	-0.0041	-1.00	1.03	-1.03	0.849
ADAM19	0.0177	0.0013	1.00	1.03	-1.02	0.94
ADAM20	0.0260	-0.0165	-1.01	1.02	-1.05	0.526
ADAM22	0.0253	0.0371	1.03	1.06	-1.01	0.144
ADAM23	0.0156	-0.0066	-1.00	1.02	-1.03	0.671
ADAM29	0.0198	-0.0004	-1.00	1.03	-1.03	0.986
ADAM30	0.0127	0.0144	1.01	1.03	-1.01	0.258
ADAM5	0.0210	0.0184	1.01	1.04	-1.02	0.383
ADAM8	0.0211	-0.0139	-1.01	1.02	-1.04	0.512
ADAM9	0.0240	-0.0360	-1.03	1.01	-1.06	0.134
ADAMTS1	0.0693	-0.1323	-1.10	1.00	-1.20	0.0573
ADAMTS12	0.0161	-0.0125	-1.01	1.01	-1.03	0.436
ADAMTS13	0.0176	-0.0087	-1.01	1.02	-1.03	0.622
ADAMTS2	0.0174	0.0115	1.01	1.03	-1.02	0.507
ADAMTS3	0.0508	0.0089	1.01	1.08	-1.06	0.861
ADAMTS7	0.0200	-0.0326	-1.02	1.00	-1.05	0.104
ADAMTS8	0.0222	-0.0081	-1.01	1.02	-1.04	0.715
ADAMTSL2	0.0365	-0.0138	-1.01	1.04	-1.06	0.705
ADAP1	0.0179	-0.0438	-1.03	-1.01	-1.06	0.0149
ADAP2	0.0233	-0.0512	-1.04	-1.00	-1.07	0.0288
ADAR	0.0125	-0.0080	-1.01	1.01	-1.02	0.524
ADARB1	0.0195	-0.0297	-1.02	1.01	-1.05	0.13
ADARB2	0.0516	-0.0453	-1.03	1.04	-1.11	0.382
ADAT1	0.0327	-0.0227	-1.02	1.03	-1.06	0.488
ADCK2	0.0196	0.0029	1.00	1.03	-1.02	0.883
ADCK3	0.0207	0.0036	1.00	1.03	-1.03	0.862
ADCY1	0.0293	0.0438	1.03	1.07	-1.01	0.136
ADCY2	0.0813	0.0155	1.01	1.13	-1.10	0.849
ADCY3	0.0154	0.0223	1.02	1.04	-1.01	0.148
ADCY6	0.0148	0.0143	1.01	1.03	-1.01	0.337
ADCY7	0.0340	-0.0070	-1.00	1.04	-1.05	0.837
ADCY8	0.0176	-0.0008	-1.00	1.02	-1.02	0.965
ADCY9	0.0269	0.0365	1.03	1.06	-1.01	0.175
ADCYAP1	0.0481	-0.1021	-1.07	-1.01	-1.15	0.0345
ADD1	0.0178	-0.0033	-1.00	1.02	-1.03	0.853
ADD2	0.0341	0.0335	1.02	1.07	-1.02	0.327
ADD3	0.0234	0.0469	1.03	1.07	1.00	0.0463
ADH5	0.0268	0.0555	1.04	1.08	1.00	0.0391
ADH6	0.0203	0.0041	1.00	1.03	-1.02	0.838
ADI1	0.0571	0.0773	1.06	1.14	-1.02	0.176
ADIPOR1	0.0152	0.0006	1.00	1.02	-1.02	0.968
ADIPOR2	0.0316	0.0325	1.02	1.07	-1.02	0.305
ADM	0.0833	0.0129	1.01	1.13	-1.11	0.877
ADM2	0.0132	-0.0083	-1.01	1.01	-1.02	0.529
ADNP	0.0236	0.0064	1.00	1.04	-1.03	0.785
ADNP2	0.0200	0.0426	1.03	1.06	1.00	0.0341
ADO	0.0341	-0.0153	-1.01	1.04	-1.06	0.653
ADORA1	0.0279	0.0238	1.02	1.06	-1.02	0.395
ADORA2A	0.0213	-0.0274	-1.02	1.01	-1.05	0.2
ADORA2B	0.0297	0.0402	1.03	1.07	-1.01	0.177
ADORA3	0.0245	-0.0423	-1.03	1.00	-1.06	0.0852
ADPGK	0.0142	-0.0014	-1.00	1.02	-1.02	0.92
ADPRM	0.0209	-0.0085	-1.01	1.02	-1.03	0.685
ADRA2A	0.0279	0.0073	1.01	1.04	-1.03	0.792
ADRA2B	0.0148	-0.0074	-1.01	1.02	-1.03	0.619
ADRA2C	0.0148	-0.0026	-1.00	1.02	-1.02	0.862
ADRB2	0.0266	-0.0348	-1.02	1.01	-1.06	0.191
ADRB3	0.0289	-0.0138	-1.01	1.03	-1.05	0.633
ADRBK1	0.0247	-0.0183	-1.01	1.02	-1.05	0.459
ADRBK2	0.0257	-0.0113	-1.01	1.03	-1.04	0.661
ADRM1	0.0169	-0.0024	-1.00	1.02	-1.02	0.888
ADSL	0.0178	0.0164	1.01	1.04	-1.01	0.358
ADSS	0.0216	-0.0745	-1.05	-1.02	-1.08	0.000657
ADTRP	0.0199	-0.0183	-1.01	1.01	-1.04	0.358
AEBP1	0.0384	-0.0159	-1.01	1.04	-1.07	0.679
AEN	0.0148	-0.0029	-1.00	1.02	-1.02	0.844
AES	0.0239	-0.0018	-1.00	1.03	-1.03	0.941
AFF1	0.0255	0.0904	1.06	1.10	1.03	0.000453
AFF2	0.0180	0.0397	1.03	1.05	1.00	0.0281
AFG3L2	0.0117	-0.0017	-1.00	1.01	-1.02	0.882
AFTPH	0.0169	-0.0340	-1.02	-1.00	-1.05	0.0454
AGAP1	0.0310	-0.0033	-1.00	1.04	-1.05	0.916
AGAP2	0.0209	-0.0104	-1.01	1.02	-1.04	0.619
AGBL5	0.0190	0.0103	1.01	1.03	-1.02	0.588
AGFG1	0.0162	0.0222	1.02	1.04	-1.01	0.171
AGFG2	0.0168	0.0304	1.02	1.04	-1.00	0.0713
AGGF1	0.0183	-0.0031	-1.00	1.02	-1.03	0.866
AGK	0.0254	0.0129	1.01	1.04	-1.03	0.612
AGL	0.0344	0.0525	1.04	1.09	-1.01	0.128
AGMAT	0.0240	-0.0454	-1.03	1.00	-1.07	0.0588
AGPAT1	0.0177	0.0028	1.00	1.03	-1.02	0.873
AGPAT2	0.0129	0.0183	1.01	1.03	-1.00	0.158
AGPAT3	0.0160	0.0441	1.03	1.05	1.01	0.00622
AGPAT4	0.0279	-0.0079	-1.01	1.03	-1.04	0.778
AGPAT5	0.0245	-0.0075	-1.01	1.03	-1.04	0.76
AGPS	0.0210	0.0042	1.00	1.03	-1.03	0.843
AGRN	0.0322	-0.0644	-1.05	-1.00	-1.09	0.0463
AGRP	0.0262	-0.0565	-1.04	-1.00	-1.08	0.0322
AGT	0.0508	0.0599	1.04	1.12	-1.03	0.24
AGTPBP1	0.0246	-0.0282	-1.02	1.01	-1.05	0.253
AGXT2L1	0.0878	0.2509	1.19	1.34	1.06	0.00457
AHCY	0.0168	-0.0168	-1.01	1.01	-1.04	0.317
AHCYL1	0.0334	0.0963	1.07	1.12	1.02	0.0042
AHCYL2	0.0243	0.0210	1.01	1.05	-1.02	0.389
AHDC1	0.0294	0.0071	1.00	1.05	-1.04	0.808
AHI1	0.0214	0.0074	1.01	1.03	-1.02	0.729
AHNAK	0.0324	0.0349	1.02	1.07	-1.02	0.282
AHNAK2	0.0329	-0.0482	-1.03	1.01	-1.08	0.144
AHSA1	0.0300	-0.0172	-1.01	1.03	-1.05	0.565
AHSP	0.0147	-0.0132	-1.01	1.01	-1.03	0.37
AIDA	0.0207	-0.0237	-1.02	1.01	-1.05	0.253
AIF1	0.0261	-0.0959	-1.07	-1.03	-1.11	0.000274
AIFM1	0.0174	0.0121	1.01	1.03	-1.02	0.488
AIM2	0.0323	0.0060	1.00	1.05	-1.04	0.853
AIMP1	0.0212	0.0127	1.01	1.04	-1.02	0.55
AIMP2	0.0174	-0.0373	-1.03	-1.00	-1.05	0.0328
AIP	0.0193	-0.0105	-1.01	1.02	-1.03	0.589
AIRE	0.0177	0.0077	1.01	1.03	-1.02	0.664
AK1	0.0155	-0.0190	-1.01	1.01	-1.03	0.221
AK4	0.0406	0.0917	1.07	1.13	1.01	0.0255
AK5	0.0290	-0.0164	-1.01	1.03	-1.05	0.574
AKAP1	0.0220	0.0223	1.02	1.05	-1.01	0.312
AKAP10	0.0527	-0.0157	-1.01	1.06	-1.09	0.766
AKAP11	0.0240	-0.0064	-1.00	1.03	-1.04	0.79
AKAP12	0.0276	0.0256	1.02	1.06	-1.02	0.355
AKAP13	0.0270	-0.0135	-1.01	1.03	-1.05	0.617
AKAP17A	0.0201	-0.0098	-1.01	1.02	-1.03	0.625
AKAP3	0.0159	0.0069	1.00	1.03	-1.02	0.666
AKAP5	0.0560	0.0391	1.03	1.11	-1.05	0.486
AKAP6	0.0133	0.0195	1.01	1.03	-1.00	0.145
AKAP7	0.0251	0.0025	1.00	1.04	-1.03	0.922
AKAP8	0.0205	0.0124	1.01	1.04	-1.02	0.548
AKAP8L	0.0279	0.0275	1.02	1.06	-1.02	0.325
AKAP9	0.0254	-0.0161	-1.01	1.02	-1.05	0.525
AKIP1	0.0143	-0.0323	-1.02	-1.00	-1.04	0.0245
AKIRIN1	0.0270	-0.0176	-1.01	1.02	-1.05	0.515
AKR1A1	0.0167	-0.0272	-1.02	1.00	-1.04	0.105
AKR1B1	0.0169	-0.0038	-1.00	1.02	-1.03	0.825
AKR1C1	0.0354	0.0067	1.00	1.05	-1.04	0.849
AKR1C2	0.0345	0.0128	1.01	1.06	-1.04	0.71
AKR1C3	0.0403	0.0580	1.04	1.10	-1.01	0.151
AKR7A2	0.0233	0.0141	1.01	1.04	-1.02	0.544
AKT1	0.0174	-0.0013	-1.00	1.02	-1.02	0.94
AKT3	0.0383	0.0492	1.03	1.09	-1.02	0.201
AKTIP	0.0227	-0.0096	-1.01	1.02	-1.04	0.674
ALAD	0.0290	-0.0030	-1.00	1.04	-1.04	0.918
ALAS1	0.0201	-0.0254	-1.02	1.01	-1.05	0.207
ALAS2	0.0275	-0.0122	-1.01	1.03	-1.05	0.658
ALCAM	0.0485	0.0070	1.00	1.07	-1.06	0.885
ALDH18A1	0.0157	0.0562	1.04	1.06	1.02	4e-04
ALDH1A1	0.0468	-0.1440	-1.10	-1.04	-1.18	0.00229
ALDH1A2	0.0247	0.0031	1.00	1.04	-1.03	0.9
ALDH1A3	0.0271	0.0098	1.01	1.04	-1.03	0.718
ALDH1L1	0.0347	0.1468	1.11	1.16	1.06	3.1e-05
ALDH2	0.0271	0.0508	1.04	1.07	-1.00	0.0619
ALDH3A2	0.0296	0.0394	1.03	1.07	-1.01	0.184
ALDH3B1	0.0136	-0.0125	-1.01	1.01	-1.03	0.359
ALDH4A1	0.0224	0.0323	1.02	1.05	-1.01	0.15
ALDH5A1	0.0251	0.0410	1.03	1.06	-1.01	0.103
ALDH6A1	0.0316	0.0706	1.05	1.10	1.01	0.0261
ALDH9A1	0.0218	0.0439	1.03	1.06	1.00	0.0447
ALDOA	0.0212	-0.0006	-1.00	1.03	-1.03	0.977
ALDOC	0.0266	0.0132	1.01	1.05	-1.03	0.619
ALG12	0.0152	0.0020	1.00	1.02	-1.02	0.896
ALG13	0.0274	0.0023	1.00	1.04	-1.04	0.933
ALG3	0.0127	-0.0156	-1.01	1.01	-1.03	0.223
ALG5	0.0186	0.0045	1.00	1.03	-1.02	0.81
ALG6	0.0258	-0.0114	-1.01	1.03	-1.04	0.66
ALG8	0.0192	-0.0071	-1.00	1.02	-1.03	0.711
ALG9	0.0156	0.0118	1.01	1.03	-1.01	0.449
ALK	0.0177	0.0065	1.00	1.03	-1.02	0.715
ALKBH1	0.0237	0.0099	1.01	1.04	-1.03	0.677
ALKBH4	0.0182	-0.0122	-1.01	1.02	-1.03	0.502
ALLC	0.0230	-0.0156	-1.01	1.02	-1.04	0.498
ALMS1	0.0268	0.0089	1.01	1.04	-1.03	0.739
ALOX12P2	0.0195	-0.0457	-1.03	-1.01	-1.06	0.0195
ALOX15B	0.0166	-0.0061	-1.00	1.02	-1.03	0.713
ALOX5AP	0.0391	-0.1394	-1.10	-1.04	-1.16	0.000425
ALPL	0.0292	-0.0478	-1.03	1.01	-1.08	0.103
ALPP	0.0180	0.0072	1.00	1.03	-1.02	0.69
ALPPL2	0.0193	0.0159	1.01	1.04	-1.02	0.409
ALS2CL	0.0162	0.0146	1.01	1.03	-1.01	0.368
ALX3	0.0184	-0.0013	-1.00	1.02	-1.03	0.946
AMBN	0.0162	-0.0007	-1.00	1.02	-1.02	0.967
AMBRA1	0.0288	-0.0116	-1.01	1.03	-1.05	0.688
AMD1	0.0266	-0.0029	-1.00	1.03	-1.04	0.912
AMFR	0.1171	-0.2708	-1.21	-1.03	-1.41	0.0215
AMHR2	0.0160	0.0002	1.00	1.02	-1.02	0.99
AMIGO2	0.0511	-0.0722	-1.05	1.02	-1.13	0.159
AMN	0.0149	-0.0064	-1.00	1.02	-1.02	0.67
AMOT	0.0280	-0.0159	-1.01	1.03	-1.05	0.571
AMOTL2	0.0268	-0.0442	-1.03	1.01	-1.07	0.1
AMPD2	0.0152	-0.0358	-1.03	-1.00	-1.05	0.019
AMPD3	0.0305	-0.0870	-1.06	-1.02	-1.11	0.00458
AMPH	0.0260	0.0418	1.03	1.07	-1.01	0.109
AMT	0.0179	0.0385	1.03	1.05	1.00	0.0324
AMZ2	0.0204	0.0012	1.00	1.03	-1.03	0.955
ANAPC1	0.0172	0.0026	1.00	1.03	-1.02	0.879
ANAPC13	0.0156	-0.0164	-1.01	1.01	-1.03	0.291
ANAPC15	0.0131	-0.0256	-1.02	1.00	-1.04	0.0511
ANAPC2	0.0156	-0.0044	-1.00	1.02	-1.02	0.778
ANAPC5	0.0172	-0.0237	-1.02	1.01	-1.04	0.169
ANGEL1	0.0188	0.0421	1.03	1.06	1.00	0.0255
ANGEL2	0.0221	0.0498	1.04	1.07	1.00	0.025
ANGPT2	0.0408	-0.0790	-1.06	1.00	-1.12	0.0544
ANGPT4	0.0154	0.0084	1.01	1.03	-1.02	0.587
ANGPTL2	0.0250	-0.0693	-1.05	-1.01	-1.09	0.00593
ANGPTL4	0.0560	0.0681	1.05	1.13	-1.03	0.225
ANK1	0.0321	-0.0107	-1.01	1.04	-1.05	0.739
ANK2	0.0168	0.0235	1.02	1.04	-1.01	0.162
ANK3	0.0228	-0.0687	-1.05	-1.02	-1.08	0.00285
ANKFY1	0.0165	0.0058	1.00	1.03	-1.02	0.725
ANKH	0.0253	0.0167	1.01	1.05	-1.02	0.509
ANKHD1	0.0171	0.0344	1.02	1.05	1.00	0.0448
ANKLE2	0.0212	-0.0061	-1.00	1.02	-1.03	0.773
ANKMY2	0.0279	0.0519	1.04	1.08	-1.00	0.0642
ANKRA2	0.0190	0.0197	1.01	1.04	-1.01	0.299
ANKRD10	0.0240	0.0121	1.01	1.04	-1.02	0.616
ANKRD11	0.0209	-0.0041	-1.00	1.03	-1.03	0.845
ANKRD12	0.0231	0.0342	1.02	1.06	-1.01	0.14
ANKRD17	0.0214	0.0066	1.00	1.03	-1.02	0.758
ANKRD19P	0.0305	0.0211	1.01	1.06	-1.03	0.489
ANKRD2	0.0237	0.0099	1.01	1.04	-1.03	0.676
ANKRD26	0.0243	-0.0364	-1.03	1.01	-1.06	0.136
ANKRD27	0.0255	0.0112	1.01	1.04	-1.03	0.661
ANKRD28	0.0165	-0.0038	-1.00	1.02	-1.03	0.818
ANKRD34C	0.0513	-0.0255	-1.02	1.05	-1.09	0.62
ANKRD46	0.0196	0.0162	1.01	1.04	-1.02	0.409
ANKRD49	0.0240	0.0272	1.02	1.05	-1.01	0.256
ANKRD6	0.0360	0.0633	1.04	1.10	-1.01	0.0797
ANKS1A	0.0244	0.0043	1.00	1.04	-1.03	0.86
ANKZF1	0.0220	0.0414	1.03	1.06	-1.00	0.0609
ANO10	0.0157	0.0277	1.02	1.04	-1.00	0.0778
ANO2	0.0279	0.0058	1.00	1.04	-1.03	0.835
ANO3	0.0601	-0.0171	-1.01	1.07	-1.10	0.777
ANP32A	0.0269	0.0301	1.02	1.06	-1.02	0.264
ANP32B	0.0327	0.0209	1.01	1.06	-1.03	0.522
ANP32E	0.0236	0.0684	1.05	1.08	1.02	0.00398
ANXA1	0.0461	-0.0359	-1.03	1.04	-1.09	0.437
ANXA11	0.0241	0.0364	1.03	1.06	-1.01	0.131
ANXA13	0.0270	-0.0011	-1.00	1.04	-1.04	0.967
ANXA2	0.0461	-0.0191	-1.01	1.05	-1.08	0.678
ANXA3	0.0751	0.0935	1.07	1.18	-1.04	0.215
ANXA4	0.0332	-0.0062	-1.00	1.04	-1.05	0.852
ANXA5	0.0297	-0.0369	-1.03	1.01	-1.07	0.215
ANXA6	0.0268	-0.0053	-1.00	1.03	-1.04	0.843
ANXA7	0.0236	0.0443	1.03	1.06	-1.00	0.062
AOAH	0.0161	-0.0128	-1.01	1.01	-1.03	0.427
AOC3	0.0344	-0.0341	-1.02	1.02	-1.07	0.323
AOC4	0.0138	0.0139	1.01	1.03	-1.01	0.313
AP1B1	0.0133	-0.0038	-1.00	1.02	-1.02	0.776
AP1G1	0.0190	0.0320	1.02	1.05	-1.00	0.094
AP1G2	0.0327	0.0463	1.03	1.08	-1.01	0.159
AP1M2	0.0162	-0.0244	-1.02	1.01	-1.04	0.133
AP1S1	0.0192	-0.0074	-1.01	1.02	-1.03	0.699
AP1S2	0.0159	-0.0014	-1.00	1.02	-1.02	0.931
AP2A2	0.0215	0.0308	1.02	1.05	-1.01	0.154
AP2B1	0.0314	-0.0025	-1.00	1.04	-1.05	0.937
AP2M1	0.0178	-0.0156	-1.01	1.01	-1.04	0.382
AP2S1	0.0195	-0.0035	-1.00	1.02	-1.03	0.856
AP3B1	0.0145	-0.0004	-1.00	1.02	-1.02	0.98
AP3B2	0.0244	0.0130	1.01	1.04	-1.02	0.593
AP3D1	0.0180	-0.0085	-1.01	1.02	-1.03	0.637
AP3M2	0.0174	0.0224	1.02	1.04	-1.01	0.2
AP3S1	0.0176	-0.0001	-1.00	1.02	-1.02	0.996
AP4M1	0.0204	-0.0350	-1.02	1.00	-1.05	0.0863
AP4S1	0.0224	0.0123	1.01	1.04	-1.02	0.585
AP5M1	0.0242	0.0190	1.01	1.05	-1.02	0.433
AP5S1	0.0185	-0.0086	-1.01	1.02	-1.03	0.641
AP5Z1	0.0197	0.0251	1.02	1.05	-1.01	0.203
APBA1	0.0173	0.0017	1.00	1.02	-1.02	0.922
APBA2	0.0184	0.0079	1.01	1.03	-1.02	0.668
APBA3	0.0222	0.0068	1.00	1.04	-1.03	0.759
APBB1	0.0194	-0.0187	-1.01	1.01	-1.04	0.334
APBB1IP	0.0425	-0.1438	-1.10	-1.04	-1.17	0.000864
APBB2	0.0158	-0.0028	-1.00	1.02	-1.02	0.862
APBB3	0.0159	-0.0177	-1.01	1.01	-1.03	0.265
APC	0.0236	-0.0119	-1.01	1.02	-1.04	0.615
APC2	0.0208	-0.0118	-1.01	1.02	-1.04	0.57
APEH	0.0214	-0.0243	-1.02	1.01	-1.05	0.255
APEX1	0.0168	-0.0112	-1.01	1.02	-1.03	0.506
